time_s,temperature_C,humidity_%,dose_rate_Gy_s,magnetic_field_T,vibration_level,airflow_m_s,particulate_ppm,ps_voltage_V,ps_current_A
0,25.10943415950886,37.670845996821,0.009542899306716375,0.3530545629808352,0.4599807581599239,3.4484242348212524,12.560366792203602,12.087981784561686,3.4377089003522032
1,22.420031787519008,40.79125520253132,0.012509751007384572,0.41855673013548916,0.6751532174287777,2.1786567878337824,13.857499388674558,11.999857825131626,3.522998327109316
2,26.000902391612914,43.85745338198995,0.020131936559814406,0.5275674476810551,0.29324791112659143,3.148419116222503,9.664389197900714,12.147516321964062,2.8580502908720122
3,26.381129432782426,43.8136984943245,0.022831422595047092,0.4063582780642517,0.8846337510400418,1.9843062499192499,7.7629400022845925,11.869715916220134,2.663267963517743
4,20.597929622692327,31.04653813517095,0.013749959538005278,0.3770076141176822,0.7811440036232541,2.753311911096698,14.481051460941574,11.932741037114567,3.2563807282090838
5,21.895640986275364,40.98704416447231,0.020769643832519554,0.388391938266223,0.5515578908585388,2.6312546993152344,12.532962623884192,11.689300027778263,3.177709135138315
6,24.75568080633457,35.34545386980577,0.026079395337394395,0.32654850213809905,0.4592111834396476,3.116684229127661,10.621515911167103,11.856615970988827,3.56242355613855
7,23.867514815312834,52.91737695213374,0.039614518237636474,0.47244816430822295,0.619542542742509,3.0441894122952324,13.995258233525172,12.000619645654622,3.642323312163073
8,24.46639768499142,54.41449975308335,0.018737556205652192,0.41564415537983057,0.7316631664470452,2.5409450218716234,11.454608600447054,12.03482515521923,2.3919577292695253
9,22.79391214485284,37.49117240880173,0.01958702684659437,0.3475551046851077,0.1349502952907199,2.2314620352835544,11.441031267213889,11.662823433115939,3.3475978382467884
10,26.258795949725656,34.37963493127647,0.03527452345979511,0.3491840854935624,0.8526413625608855,3.312480819550961,11.293692275393234,11.89770984030561,2.9332476155833085
11,26.055583870857898,35.48760377370858,0.014508341417019049,0.40076411895744135,0.48940278365774514,2.18152627416492,8.715768986005132,12.032063113648627,3.1647265137395224
12,24.63206139512243,41.94380638382384,0.006756469672378192,0.4465997696669244,0.9353439898095516,1.3661381125628056,8.309026072079881,12.281608682185695,3.2333545015992344
13,26.754482413936067,51.86263997782946,0.022502489756589625,0.34245050456315146,0.9555423961141153,1.570717271745963,9.89719072146655,11.830997474448859,3.220774399895127
14,25.43501868450409,42.500905373440986,0.030761750250879148,0.45567046709335857,0.03071682101808515,1.6924693254432164,12.128283892016782,12.098012803349542,3.3001108959124896
15,22.781415074233525,31.384801542882443,0.023610471351996856,0.39541832240215485,0.38448097576889695,2.7978477725999724,4.514905975363822,11.887686979721725,2.8319191250241325
16,25.237501568164998,30.9971400678286,0.019029843424527543,0.3534878307496452,0.5262234132462653,3.607233800822261,15.77897880613735,11.910844717422057,2.714135780934245
17,22.582234798342004,35.684773640571215,0.005516066268651611,0.37661547867135114,0.5395954881273708,1.4800196641240027,12.073765029911181,11.824485752662424,3.3560739383952534
18,26.256900602614547,51.069281940235726,0.01941630754731627,0.48742769385648554,0.822393366847009,2.1087225584177225,7.7396417149831915,11.791132012014964,2.738481605226364
19,24.400148178027493,45.5370139383786,0.03233154926316337,0.33058933317273315,0.1411039874287685,2.544512897394104,18.466380688541456,11.905041408414464,3.558419613046085
20,24.13027527290948,44.07394634465729,0.007658829184607785,0.3634053522026927,0.6224826896949228,3.2727534828352765,12.167169315847632,12.20960222587056,2.770687410452042
21,23.138140911192117,37.974239814566054,0.017552528261967286,0.44762917923174605,0.9425969878452626,2.106031240423865,6.659404684317812,11.849006022953601,2.885749240893735
